District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Khamti,732000,2776000,N2776000E732000,148.143131,2014,46,267,113,48,2510,380,146,234,271,231,297,231,1400,283,1,93,781,12,192,12
Khamti,730000,2776000,N2776000E730000,117.2475442,2014,46,267,113,48,2516,380,146,234,271,231,297,231,1414,287,1,93,793,12,192,12
Khamti,754000,2768000,N2768000E754000,212.5327448,2014,46,267,113,48,2523,380,146,234,271,231,297,231,1389,279,1,93,773,12,191,12
Khamti,701000,2779000,N2779000E701000,65.74443818,2014,46,267,114,48,2490,380,146,234,271,232,297,232,1418,289,1,93,796,12,193,12
Khamti,683000,2755000,N2755000E683000,132.9524702,2014,46,267,113,48,2480,381,146,235,271,232,297,232,1355,270,1,92,748,12,190,12
Khamti,719000,2755000,N2755000E719000,376.3266515,2014,46,266,114,48,2507,379,144,235,270,230,296,230,1337,264,1,91,732,12,191,12
Khamti,734000,2755000,N2755000E734000,93.2286499,2014,46,265,113,48,2514,378,143,235,269,229,295,229,1315,257,1,90,716,12,191,12
Khamti,772000,2768000,N2768000E772000,124.3496861,2014,46,265,114,48,2513,378,143,235,268,229,295,229,1305,256,1,90,710,12,194,12
Khamti,770000,2768000,N2768000E770000,98.74351436,2014,46,267,113,47,2518,380,144,236,270,230,296,230,1322,262,1,90,724,12,193,12
Khamti,743000,2755000,N2755000E743000,96.76874779,2014,46,265,114,48,2515,378,143,235,268,229,295,229,1284,250,1,89,695,12,193,12
Khamti,671000,2743000,N2743000E671000,180.5813658,2014,46,261,114,48,2504,374,139,235,265,225,290,225,1261,239,1,88,671,12,193,12
Khamti,718998,2742999,N2742999E718998,121.3531995,2014,46,261,113,47,2526,375,139,236,265,225,291,225,1271,241,1,89,678,12,192,12
Khamti,674024,2726023,N2726023E674024,116.7995846,2014,46,264,114,48,2504,378,142,236,268,228,294,228,1268,243,1,89,681,11,190,11
Katha,204581,2727638,N2727638E204581,168.3745821,2015,47,263,114,48,2511,377,141,236,267,227,293,227,1253,238,1,89,669,11,191,11
Katha,793985,2727986,N2727986E793985,144.3336447,2015,46,262,114,48,2491,376,140,236,266,227,292,227,1239,234,1,88,659,11,191,11
Khamti,676000,2718000,N2718000E676000,91.49264009,2014,46,264,114,48,2550,378,142,236,268,228,295,228,1235,234,1,89,658,11,189,11
Mawlaik,672000,2718000,N2718000E672000,170.253849,2014,46,267,114,48,2532,381,144,237,271,231,297,231,1265,245,1,90,684,11,187,11
Mawlaik,674000,2718000,N2718000E674000,30.38031526,2014,46,266,114,48,2563,380,143,237,269,229,297,229,1253,241,1,89,674,11,188,11
Katha,776000,2713999,N2713999E776000,174.4949711,2015,46,266,114,48,2545,380,144,236,270,230,297,230,1249,239,1,89,671,11,187,11
Khamti,662000,2714000,N2714000E662000,121.0352636,2014,46,264,114,48,2540,378,142,236,268,227,294,227,1228,232,1,88,654,11,187,11
